emp_no,salary
259147,43146
259152,75996
259203,99762
259367,80095
259573,61228
259675,99630
25969,92037
259991,51120
26005,59428
260168,86485
260441,45984
260674,85479
260711,83241
26082,93931
260942,134789
260959,58643
261005,55674
26112,75444
261460,90799
262982,66537
263145,56578
263349,92290
263514,63630
263869,88047
264018,65396
264076,71082
264125,99099
26439,76933
264845,72873
265028,92857
265095,51452
265187,50241
265267,99744
265271,92930
265653,71896
266051,67183
266349,47727
266398,66019
266503,47436
266521,50486
266639,142426
266791,61810
267018,79060
267236,65982
267252,56258
267354,72309
267399,86259
267408,66359
267483,45897
267639,79342
267706,83305
267888,85835
268405,59297
268499,62518
268947,43665
269122,79036
269126,52925
269299,84192
269336,60825
270228,89062
270678,75480
270885,46994
270962,66784
27108,84890
271083,78690
271233,88394
271445,80008
271564,51194
271577,83944
271864,82850
272012,80870
272074,49792
272346,47675
27248,74366
27264,48354
272702,50855
27317,68641
273244,55927
273266,75826
273866,66475
274083,57993
274166,87664
274202,48103
274337,86101
274400,72850
274560,58008
274694,68812
274863,53513
275679,87268
276129,42004
276448,55554
277151,69207
277594,66046
277840,64967
277914,77774
278101,94901
278220,57982
278498,99698
278659,43700
27884,67404
278956,91514
279025,56439
279165,58020
279443,62741
279777,86926
27990,40535
280029,60018
280259,80444
280271,82212
28117,52908
281174,98483
281226,42933
281281,66980
281316,95405
28135,60715
28158,62170
281673,61382
281825,75963
281863,93201
281911,74334
28197,81864
282194,57908
282680,51236
282739,66097
283063,98095
283095,78967
283100,67520
28316,43535
283247,51060
28334,48885
283606,49322
28426,53418
284301,61001
284394,70475
28473,53289
284782,74983
284880,63104
28503,92932
285065,87407
285616,99145
285724,73354
285882,82264
286019,85152
286156,75907
286258,91471
286373,60537
28675,53088
287067,65616
287099,63619
287182,96558
287186,73664
287511,76467
287606,68758
287651,57611
287738,95062
287938,82791
287990,60382
288329,55081
28839,63799
288700,74403
289064,99031
289069,75400
289164,65392
289201,79864
289450,65175
289695,76378
289740,64924
290183,98888
290377,57841
290468,63656
290546,71397
290844,49958
29089,86498
290961,79833
291034,71999
291364,63116
291376,64904
291424,71688
291446,50062
291613,70165
291733,68599
291759,57362
291766,95923
292007,54414
29210,99421
292237,75516
292288,55434
292289,51941
292303,81567
292695,74551
292907,60758
293057,40000
293214,98095
293258,44222
293437,90564
293681,89840
293725,98375
293849,76586
294329,61812
294374,65903
29454,70256
294561,59124
294562,97073
294578,72018
294704,94164
294879,58586
295060,59516
295107,74064
295265,53443
295303,58617
29539,98635
295427,86516
295489,56535
29549,69020
295638,41084
29573,96272
296047,48327
296438,69202
296450,54066
296467,87059
296996,77071
297153,52467
297449,97015
297485,66902
297517,57738
297659,99306
297674,61291
297748,64336
297749,70699
297765,63297
298135,71256
298391,69617
298403,67550
298541,48375
298542,46819
29865,55766
29912,57367
299152,63541
299565,56134
299634,98463
299823,62090
299922,93598
299988,55972
30002,82171
30923,59726
30966,44625
31039,70008
31118,53289
31432,54558
31518,53455
31713,68726
32275,58294
32558,76528
32773,96487
32812,52887
33174,56184
33665,45540
33783,61484
34635,61253
34657,46882
35004,47046
35350,99848
35374,73878
35444,41671
35640,68225
35670,90634
35844,58667
36067,54247
36470,71061
36526,71585
37246,59660
37311,73797
37774,66839
37982,92435
38223,91148
38252,91807
38271,79847
38433,64795
38672,55496
38685,98691
38986,61466
39103,67181
39350,84636
39457,89444
39458,69826
39581,43576
39590,97361
39641,97695
39645,68170
39659,65418
39917,77849
400075,48081
400703,51429
400705,77805
401061,40694
402177,57099
402430,97133
402445,56532
402516,47525
402787,89428
403087,68704
403245,87543
403348,52395
40340,79716
403501,99042
403805,69071
403880,73233
403987,73393
404000,45712
404310,66095
404563,83508
404817,77434
404848,43764
404977,75772
404987,98483
405065,95234
405116,43486
405125,75718
405808,79961
406036,85237
406094,81433
406103,45622
406122,48705
406139,64187
406188,79673
406220,54077
406251,75209
406297,71330
406406,68583
406575,66945
406733,75507
407061,48292
40726,47042
407347,89554
407367,59244
40740,75184
407568,80382
407588,77487
407955,61075
408208,99911
408270,96144
408279,77944
408546,60138
40874,92475
409183,40000
409202,81195
409305,73443
409339,78652
409513,44474
409558,65865
410143,62015
41105,74633
411129,61530
411290,73864
411394,97747
411511,67027
41157,40000
411850,68512
411851,80231
412211,52604
412422,58207
412576,61624
412586,46280
413141,60540
413166,74806
413455,88589
413554,71851
413680,82293
41374,44618
414154,44180
414244,53158
414295,62340
414329,98950
414385,64573
414827,75605
415117,98829
415180,84059
415651,72601
415766,95397
416451,74129
416950,96459
417022,78674
417284,98556
417334,51630
417619,60635
417816,67769
41785,57709
418134,54726
418379,55396
418853,64571
418913,90703
419208,53811
419238,79337
419333,48847
419973,42483
41998,98898
420153,79226
420174,51166
420275,70183
420636,74264
421078,99380
421496,44610
421513,98883
421748,50278
422172,75482
422227,78801
422243,72256
422308,51362
422330,70390
422383,64965
422448,97189
422535,97842
422555,70383
422613,63086
422973,40000
423243,59640
423337,87957
423389,68302
423457,62253
423536,68465
42370,61093
423997,49456
424560,60301
424616,84535
424719,87923
424789,64712
424795,45834
424856,50546
425009,75103
425451,67441
425643,84499
425665,65184
426132,89038
426191,84810
426361,81700
426431,97780
426729,87937
42686,43889
42688,68548
426916,65939
427069,47174
427401,81771
42743,48418
42776,60107
427979,98011
427986,89271
428514,81466
428783,54601
428986,50194
42923,76039
429431,48662
429517,60279
429742,99161
429821,66762
429863,82136
429907,93502
430074,57123
430085,75671
43085,63409
431084,72679
431323,58832
431390,90651
431434,60678
431973,47988
432010,58297
432881,70027
433498,71521
433672,85949
433985,63286
434007,48680
434061,96916
434193,84840
434293,74475
434492,98558
43462,58197
434934,96990
435114,66694
435163,65733
435338,79893
435495,64028
435507,69569
435697,82904
435752,82003
437229,63657
437255,65072
437369,49740
437561,79639
438010,72397
438129,54609
438801,80491
438904,61591
438941,82798
438993,45152
439051,97275
439343,75883
439354,98429
439623,60858
439917,54843
440030,68511
44032,48068
440325,73921
440589,52283
440712,65128
440816,46033
440834,56374
441020,74144
441039,55067
441479,99049
441664,76000
442129,73529
442317,55375
442357,80092
442740,74846
443565,67341
443604,83718
443957,64671
444006,70930
444038,55966
444119,68714
444183,74559
444212,79848
44423,65839
44446,56837
444607,61310
444846,55169
445770,79486
445779,47386
446079,52106
446172,79365
446226,67738
446309,56159
446669,81009
446993,70300
447000,73609
447058,57667
447127,78712
44717,65099
447184,51159
447682,62651
447934,52964
44801,66117
448066,43220
448129,62557
448463,70021
448517,56673
448531,53806
448678,67056
448705,54931
448710,47315
448844,62397
448919,55907
449068,59023
449293,64956
449308,98128
449724,62366
449841,41575
449982,79223
449987,129773
450007,79620
450063,40000
450076,50492
450234,46898
450662,61287
450768,97514
451071,57499
451192,56804
451222,91774
45141,88700
451438,56327
45157,86554
451599,66519
451621,82494
451782,43581
451824,86611
452166,81311
452212,40000
452335,66508
452448,99945
452470,71731
452504,78322
45273,97766
452827,95846
45300,44335
453512,45057
453564,60159
453735,98208
453785,87863
453964,68060
454253,95110
454395,75155
454632,85980
454795,42067
454799,88055
454861,40898
454919,73431
455037,85017
455070,80873
455336,89021
455379,49757
45540,82115
455790,53386
456057,50681
456124,48805
456467,65844
45670,57913
456901,85616
457055,72584
457249,55408
457715,59521
457804,63372
457924,67130
457938,71512
458146,45229
458326,53711
458388,69660
458470,69894
458477,83124
458662,96210
458900,48602
459283,66694
459318,41469
459500,99596
459636,73066
460326,48325
460437,54541
460520,54962
460608,99721
460901,67393
460963,64659
461143,90708
461378,69858
461473,57478
461561,99993
461855,88893
462117,65571
462160,68080
462751,72865
462956,80592
462995,81584
463343,99815
463388,70487
463554,85242
463675,43726
463713,54247
464018,74774
464050,80503
464090,55136
464886,51196
465088,67329
46525,58891
46534,62367
46538,64757
465399,83308
465410,78890
465951,40735
466277,99442
466453,61358
46683,80833
466874,44082
467162,50590
467271,71602
467504,53847
467598,44512
467636,79919
467698,78116
467776,57030
467895,76546
468380,50392
468672,73030
46870,46475
468842,48766
468948,62136
469263,68477
469607,77197
469851,66880
469956,94898
470171,57500
470705,58219
470784,67671
47092,67487
471105,80309
47140,69201
471724,45307
472124,77153
472235,58581
472540,64399
472659,64885
472913,59453
473673,69148
473731,75993
474111,67334
474153,70285
474332,65593
47437,72328
474520,67322
474559,45900
474666,84792
474759,79421
474834,62822
475011,46986
475050,52673
475140,43312
475197,54676
475199,61428
475451,66280
475744,51376
475851,48757
475979,69098
476186,86081
476559,50286
476603,84345
476818,61400
477226,67032
477254,93557
477271,60219
477528,48336
477734,64675
477872,99319
477935,65846
478118,42185
478137,78267
478196,57701
478248,82779
478272,95003
478340,57340
478552,98397
478738,49726
47880,67385
478920,73687
478955,87741
479118,77647
47919,66757
479207,62226
479249,44041
479349,80528
47940,81081
479407,74510
479442,67011
47960,49019
479615,64410
479648,68923
47984,45356
479872,54420
480004,60136
480008,66522
48063,96760
480668,75131
48078,64601
481203,68071
481232,58386
481367,76084
48147,59827
481538,86199
482219,97794
482311,71850
482376,73697
482395,47756
482494,53399
482858,72192
483331,53429
483363,62183
483389,61437
48358,41374
48370,75550
48402,64403
484328,44444
484895,45648
48493,85496
484937,54778
485104,98400
485291,79218
485457,84194
485528,72399
485535,75592
485554,99750
485766,67883
485808,70114
485827,93901
485842,43265
485893,69570
485925,47718
486298,43365
486727,64247
486749,76443
486769,59636
486792,81103
486979,99739
48738,40000
487384,72352
487845,98782
488332,93472
488417,63800
488474,86192
488562,93219
488782,62953
489119,58504
489165,62747
489468,69322
489677,63815
489942,53568
49003,97425
490038,63455
490460,48002
490598,50184
490772,99564
49079,68585
491037,57309
491045,61741
491349,82547
491658,63779
491789,56450
492140,56118
492618,75195
49290,71412
492922,66242
493007,68220
493029,59124
49307,51199
493122,57083
493542,54740
493977,67184
494244,54996
494277,88463
494457,66839
494729,62500
494948,61657
495012,60176
495185,46693
495329,69960
495472,83095
495477,78825
495594,46992
495783,64890
496171,97206
496227,54701
496233,72899
49630,54383
496427,81964
496468,80585
497229,61839
497541,56260
49755,97259
497760,75394
497815,92109
498059,49349
498070,54497
498125,55759
498313,79003
498328,45499
498667,73003
498739,45889
498934,97692
499097,88430
499145,78408
499444,99644
50254,78882
50802,45899
50961,87872
51063,80568
51244,87398
51550,70155
51676,83312
51722,54625
52206,70597
52800,90950
52991,43020
53380,84656
53616,44293
54008,57328
54609,49978
54798,87697
54816,67214
55089,45245
55321,56693
55371,80566
55445,83983
55456,71524
55498,62477
55658,69201
56315,67101
56525,52434
56527,68614
56662,66490
56831,75369
57051,43080
57085,48199
57112,66599
57215,67904
57464,99176
57483,64177
57496,70512
57569,98908
57608,95454
57868,61995
57904,97749
58163,48641
58185,68870
58197,85598
58358,94460
58744,65241
58819,98695
59072,54378
59169,89170
59318,71151
59370,49932
59467,72616
59652,81735
59722,87617
59843,99017
59891,92674
60053,58356
60070,82326
60081,63294
60095,96687
60132,98954
60336,63616
60351,44417
60493,48829
60733,56454
60822,55016
60897,74643
61304,69025
61354,56444
61819,60563
62481,86233
62646,133546
62912,69509
63647,44727
63697,65037
63702,74327
63738,87318
63814,96520
64038,83394
64595,66967
64612,74512
64747,54392
64793,63265
64842,61034
64985,65592
65045,77279
65152,86054
65348,56408
65495,44752
65548,67185
65892,89760
65897,73428
65927,58533
66119,61220
66401,70159
66584,96514
66616,66431
66762,80119
67074,44036
67196,59438
67525,60641
67728,77307
67817,45533
67874,71345
67896,74927
68171,99269
68236,71389
68285,68103
68325,59981
68794,72356
69182,54376
69295,62003
69460,67505
69528,52207
70078,52153
70097,51113
70170,68233
70531,76143
70721,46994
70822,78614
70962,65757
71047,65639
71627,80523
71983,63992
72194,73431
72472,62369
72553,49230
72884,43934
73463,69477
73596,92416
74468,71667
74605,88373
74899,48309
75007,49357
75602,65908
76056,56721
76321,69750
76674,93136
76686,54736
76976,48404
77303,68527
77339,56678
77371,64134
77814,67569
77930,74228
78073,59980
78313,98066
78382,49679
78888,97179
79757,97571
79785,42934
79849,72267
80047,69382
80243,70413
80258,99411
80305,69412
80422,59728
80820,73434
81093,66526
81206,61704
81355,97814
81549,74834
81824,99049
81877,55982
81878,98034
82197,40000
82208,80484
82297,65454
82753,70008
82775,40000
82971,72283
82993,62722
83101,48002
83450,59221
83461,96865
84188,96754
84272,66966
84606,84259
84673,45218
84881,83712
84983,76839
85022,73590
85405,65813
85946,90955
86180,98442
86484,55556
86804,69060
86900,58825
87097,41369
87103,64311
87117,79223
87626,55789
88138,56335
88140,66889
88277,53684
88311,55153
88447,62605
88649,49445
89106,90157
89274,57600
89372,74673
89517,48527
89555,52291
89669,66858
89771,58870
89864,61023
90022,66321
90143,42886
90347,67272
90391,65849
90533,54113
90783,44228
90878,72855
91421,98880
91788,64414
91910,55560
91959,91665
92027,80823
92072,69649
92146,71138
92332,81291
93319,60758
93545,82333
93877,97721
93893,43753
93924,80440
93964,60834
94102,65631
95134,77621
95519,61676
96713,65762
97128,58150
97336,71103
97349,79384
97469,59156
97717,81581
97718,59947
97872,72835
97935,47864
98717,62789
98725,59225
98870,64209
99469,54284
100349,67900
100402,43025
100576,65164
100580,58636
100684,68237
100863,46063
101149,67553
101167,70899
101491,49906
101837,56745
102065,99568
102203,66277
102250,46902
102272,88302
102453,81253
102497,67937
102510,91128
102535,62007
10272,67888
102750,99396
102879,50316
10309,63757
103206,52619
10338,46164
103394,48056
103417,40000
103586,85817
103650,62607
103819,61041
104011,83204
104025,53131
104125,73304
104458,65177
104551,77560
104635,56683
104734,49313
104764,62855
104821,83885
105380,69503
105519,61653
105669,57185
105923,60371
106014,59307
10603,118613
106041,74355
106331,61926
106542,53731
106594,48189
106612,66904
106986,77064
107184,54834
107516,46701
107528,65629
107609,74764
107613,62473
107709,53751
108197,63072
108348,73841
108446,61713
108576,45143
109051,55572
109577,55680
11205,92356
11236,66648
11247,54614
11313,95643
12542,83203
12637,55313
12888,64769
13187,97243
13985,80307
14218,66696
14879,79876
14974,80136
15052,62096
15448,41644
15539,69160
15947,56522
16549,72505
16639,84686
17551,79794
17757,95343
17835,47169
17866,73653
17910,85514
18386,86680
18429,56444
19289,61397
19369,62898
19582,63663
19665,76669
19919,74036
19989,66269
19990,64807
200353,95855
200375,51479
200574,70746
200979,79622
201391,77002
201400,60976
20141,69984
201645,96226
201809,69449
202045,79892
202048,58259
20252,74962
20256,70973
202576,52557
202703,87480
202875,81177
202932,84690
203190,95684
203604,76681
203692,94577
204157,95902
204171,58996
204298,55357
204674,74843
204744,73421
205316,61862
205429,69869
205490,99467
205505,69032
205763,40000
205952,40920
206128,71759
206312,96714
206790,51224
206919,99893
206924,63444
207210,44402
207340,98783
207356,53524
207678,57068
207740,87429
207921,68215
208148,46797
208235,57376
208750,55151
208760,65023
208797,40000
208881,62825
208957,50356
209441,85781
209457,69424
209549,88524
20959,59940
209804,54984
209897,63333
210437,72368
210782,86855
210868,72881
210945,99789
210953,52256
210966,46568
211144,56243
211160,51046
211284,59450
211540,67192
211890,84306
212043,98933
212155,62224
212497,69000
212639,93655
212679,67510
212859,65071
213390,57424
213411,82033
213783,62778
213934,79920
214050,50792
214117,71302
214281,84827
21453,95178
214622,86021
214888,56292
215022,62328
21515,47817
21534,43337
21535,99286
215610,57094
216058,59088
21645,69065
216639,47887
21671,92772
216840,53063
21711,82099
217127,90945
217173,96811
217427,54792
217508,52962
217587,64782
217647,55500
217979,65433
218180,81762
218202,68594
218434,70362
218708,97420
219137,67259
219364,67375
219382,98898
219393,48191
219394,48222
219441,63540
219460,67404
219749,70368
219810,64715
219925,96171
220217,86420
220363,78944
220446,70355
220655,57643
221040,68104
22130,77422
221469,65883
221722,70003
221924,47216
221970,98730
222514,90333
222705,65912
222922,49924
223038,71092
22314,65661
223165,89940
223484,97205
223674,52404
223708,66157
223779,65719
223903,57059
223905,66815
224100,64398
224357,64228
22436,93373
224544,67633
225239,79439
225272,48278
225294,84689
225345,65341
22542,74076
225488,97134
225506,66602
225553,69075
225958,85231
226034,52819
226064,77179
226851,63797
226976,55340
227085,67883
227115,62712
227163,67679
227173,54273
227277,74259
227295,84926
227549,64218
227630,95984
228056,54893
228117,69355
228469,49082
228749,65060
228755,99667
228809,98987
229290,57019
229351,76346
229678,97516
229818,71303
230169,82425
230971,82663
23113,76128
231184,56142
231215,74911
231389,92477
231521,73051
232159,86541
232756,62964
232913,80254
232918,83288
232980,81966
233111,71831
233191,92793
233348,82323
233525,58859
233549,65099
233577,80463
233609,87541
233727,65211
233749,89829
233781,87504
233809,62172
234129,73143
234341,47603
234497,55134
234603,54222
23479,54225
235045,60044
235121,57740
23514,71836
235230,57622
235734,62961
23592,83931
236057,72831
236121,90704
236175,73639
236320,60111
236378,54316
236414,70982
236507,62048
236640,107287
236805,48599
237382,64489
237718,71989
238020,65200
238325,58548
238613,70841
238629,64676
238664,79109
238944,75499
238975,51901
239175,74827
239199,69972
239863,59893
239896,97764
239967,94051
240271,70502
240483,55322
240717,40624
24078,73719
240787,93161
240814,99506
240819,84446
241008,72410
241281,80955
241289,62656
241293,60991
241324,83558
241393,63211
241471,54666
241548,77079
241687,78378
241900,61365
241918,67798
242087,59287
242098,62704
242127,74028
242284,50127
242871,71327
242990,83638
243152,73931
243470,99365
243851,76407
243905,74203
243939,49052
244272,79397
244517,70649
244585,77974
244629,80404
244954,58011
24528,59948
245575,63320
245711,45967
245782,59901
245926,71794
246061,84784
246160,67227
246261,40474
246487,77074
246870,66719
247141,56644
247538,86152
247636,64578
247767,79996
248254,44773
248358,66071
248490,55539
248730,57546
248799,71460
248898,45503
249144,54556
249300,72919
249401,86558
250239,51246
250303,57582
250458,76834
250479,97823
251053,44901
251071,40861
251259,70597
251264,63961
251800,51058
252105,90628
252415,78704
252417,73495
253304,50385
25349,46694
25350,47564
253566,58881
253637,70407
253782,64879
253854,84095
253893,68483
254094,70718
254608,95331
254747,69893
25532,75741
255390,75542
255808,48165
255996,63665
256046,43782
256664,99798
257368,82785
257448,98592
257550,53650
257666,40000
258054,61787
25821,87671
258225,45789
258732,71094
259012,53805
259120,70541
259411,85222
259448,84264
259853,95942
259859,70679
260076,58185
260202,48002
260523,64046
260728,65160
260815,76492
260948,40000
261099,58812
261289,74546
261446,99736
261676,79192
261681,99419
262059,80230
26222,75582
262245,40920
262364,60123
263196,50406
263315,81819
263340,99053
263355,62049
263608,55599
263680,52299
263965,63762
264638,96392
264811,80140
264848,89273
264971,40000
265588,71581
265620,61009
265638,99898
265816,61651
26686,47795
26687,99000
267463,40000
267513,46806
268147,73742
268290,54290
268491,85467
268679,47713
268731,94161
268753,84710
269971,104515
270074,49485
270106,46205
270383,75591
270402,72010
270475,74068
270535,58181
270728,53672
27081,88407
271014,60766
27125,76873
27130,72572
271340,56742
271604,51739
27247,74625
272503,41833
272790,72711
272870,65144
273039,88791
273129,74403
27339,79708
273600,80076
273603,87196
273641,96598
273784,75913
274157,61503
274248,83485
27429,50342
274335,70152
274525,50557
274674,74976
274688,107165
274736,74860
274841,51077
274914,62022
27492,46118
27541,72565
275617,68590
27563,45340
275808,94681
275994,59948
276322,92214
276719,58264
277144,69918
277288,59863
27729,88374
277318,94299
277372,79208
27752,50160
27753,46228
277608,90009
278049,45785
278399,79566
27890,53727
279536,79286
27966,74247
279674,66602
280108,88806
28039,60140
280404,50288
280747,63175
28102,61334
281214,53199
281239,66064
281306,93311
281410,97474
28183,78919
282134,99200
282344,79222
282416,98243
282575,40000
282775,66135
28288,88516
282954,57551
283143,59731
283204,79656
283260,63630
283535,77557
283607,80312
283782,89794
283795,92922
283927,79961
284036,75947
28449,74438
28463,40907
28500,40000
285223,88113
28524,59594
285393,97753
285497,76197
285512,57718
286155,76063
286450,56333
286690,75683
286960,81774
287348,99304
287577,48872
287677,96114
287919,66922
288010,57291
288362,49002
288521,56335
288588,67497
288744,51711
288807,92386
288920,82812
289498,78639
289521,74281
289523,53374
289666,67096
289767,64679
290015,94091
290022,63542
290361,72325
290499,40000
29055,67639
290911,80132
29097,77661
291128,64838
291240,52412
291291,99984
291785,95237
291894,71729
292148,90578
292290,77534
292349,54518
292396,74977
292571,47457
292668,45729
293006,63711
293068,44568
293788,59483
293888,99597
293899,65131
293916,74655
294478,56400
294507,64483
294683,64421
294886,64303
295189,99291
295539,76957
295573,79966
295624,50726
295795,99769
296240,40772
296296,61846
296594,80697
296678,69538
296774,86503
296801,54342
297061,98670
297302,44639
297422,71797
297656,94993
297664,79612
297718,40000
297964,49958
298078,90868
298102,86767
298136,83467
298217,43177
298664,75076
298851,47468
298960,86979
299046,51865
299073,85880
299159,94728
299380,98473
299496,45294
299667,62168
29978,77952
299802,55341
30054,80378
30740,63212
30750,72208
30811,44403
30857,54050
30953,60725
31067,58298
31330,62992
32361,49082
32392,55698
32529,87582
32654,82249
32660,85122
32788,51262
32939,50790
32943,67034
33004,64466
33615,53366
33774,70261
33840,67064
34347,89706
34404,72871
34414,64311
34565,57209
34591,43304
34829,55577
35089,74994
35095,51685
35438,89312
35771,74976
36538,55328
36689,82602
36782,63294
37160,81161
37399,66073
37796,41643
38203,67278
38296,93060
38318,62707
38339,55960
38526,42207
38576,47350
38900,69967
38926,72556
39083,65954
39692,81418
39755,71916
39840,53819
400039,41060
400062,89156
400151,96233
400201,75656
40079,70618
401246,61282
401778,78694
402041,98258
402268,40000
402422,97627
403310,61416
403362,54990
40353,54023
403610,41588
403640,59352
403829,71826
404014,91232
404035,69078
404050,50273
404177,59146
404418,70400
404658,59684
404660,61397
404699,92274
404702,48606
404748,69726
404843,55597
404849,42293
404943,81646
404984,52017
40512,81606
40524,64559
405469,57628
405482,46302
405592,80457
405963,96119
406041,42590
406426,76326
406798,53042
406914,58394
407377,62758
407624,54509
407644,41380
407894,78621
408003,50049
408142,89458
408238,42543
408397,90421
408639,64227
40866,75770
408806,69523
409177,99035
409702,48126
40972,95179
409977,70489
41009,87600
410165,90322
410299,58267
410434,71975
410631,91725
410685,78407
410784,61492
410866,77628
411040,56189
411106,68701
411887,57365
412353,69807
412392,82896
41256,58884
41262,48517
412677,53735
412747,62602
412764,57546
41280,97266
412883,86389
412932,57004
41313,66476
413475,74864
413599,81721
413603,60282
414642,47070
414711,65814
414886,58394
415111,59538
415242,97894
415320,65773
415542,83631
415789,84889
415826,83021
416044,51590
416083,98349
416699,62420
416960,62921
417003,61447
417206,97816
417604,84992
417682,60794
417738,82222
417767,53815
418036,85244
418169,85890
418263,61479
418846,69160
